Vertice,Pai,Nivel
890,-1,-1
891,-1,-1
892,-1,-1
893,-1,-1
894,-1,-1
895,-1,-1
896,-1,-1
897,181798,13
898,323132,10
899,-1,-1
900,-1,-1
901,75518,13
902,-1,-1
903,-1,-1
904,-1,-1
905,-1,-1
906,8519,14
907,195953,12
908,330080,13
909,30879,10
910,275705,8
911,-1,-1
912,297138,16
913,264692,13
914,-1,-1
915,-1,-1
916,275788,14
917,38825,16
918,-1,-1
919,66875,12
920,-1,-1
921,123038,13
922,232295,14
923,-1,-1
924,-1,-1
925,274039,11
926,161290,14
927,-1,-1
928,131445,11
929,287949,14
930,-1,-1
931,219543,14
932,84018,11
933,-1,-1
934,116068,9
935,340933,14
936,-1,-1
937,5017,13
938,-1,-1
939,85489,12
940,-1,-1
941,-1,-1
942,353386,13
943,187995,13
944,-1,-1
945,86304,11
946,-1,-1
947,285690,13
948,-1,-1
949,-1,-1
950,18329,14
951,-1,-1
952,320262,14
953,301170,12
954,-1,-1
955,-1,-1
956,-1,-1
957,-1,-1
958,-1,-1
959,-1,-1
960,-1,-1
961,-1,-1
962,-1,-1
963,-1,-1
964,202568,13
965,-1,-1
966,73923,14
967,-1,-1
968,195968,12
969,-1,-1
970,-1,-1
971,-1,-1
972,274679,11
973,340298,13
974,-1,-1
975,-1,-1
976,79664,11
977,-1,-1
978,340474,12
979,-1,-1
980,37029,11
981,-1,-1
982,103122,13
983,250737,14
984,-1,-1
985,-1,-1
986,-1,-1
987,-1,-1
988,-1,-1
989,270098,13
990,-1,-1
991,-1,-1
992,92780,13
993,-1,-1
994,-1,-1
995,-1,-1
996,60789,12
997,-1,-1
998,-1,-1
999,45264,12
1000,-1,-1
1001,13239,12
1002,-1,-1
1003,-1,-1
1004,60777,11
1005,45303,12
1006,223001,13
1007,-1,-1
1008,-1,-1
1009,-1,-1
1010,284125,12
1011,-1,-1
1012,-1,-1
1013,-1,-1
1014,-1,-1
1015,-1,-1
1016,-1,-1
1017,194025,10
1018,-1,-1
1019,-1,-1
1020,357658,13
1021,-1,-1
1022,-1,-1
1023,-1,-1
1024,-1,-1
1025,209916,13
1026,173136,12
1027,-1,-1
1028,-1,-1
1029,-1,-1
1030,-1,-1
1031,-1,-1
1032,-1,-1
1033,250527,14
1034,-1,-1
1035,-1,-1
1036,-1,-1
1037,-1,-1
1038,246967,13
1039,-1,-1
1040,20860,12
1041,303079,11
1042,356418,12
1043,326607,10
1044,-1,-1
1045,-1,-1
1046,-1,-1
1047,-1,-1
1048,-1,-1
1049,30286,14
1050,-1,-1
1051,20206,13
1052,-1,-1
1053,-1,-1
1054,25196,12
1055,-1,-1
1056,38128,11
1057,-1,-1
1058,-1,-1
1059,-1,-1
1060,63043,12
1061,173334,14
1062,345955,12
1063,-1,-1
1064,-1,-1
1065,367749,12
1066,364755,8
1067,-1,-1
1068,-1,-1
1069,228174,12
1070,80880,12
1071,-1,-1
1072,-1,-1
1073,-1,-1
1074,-1,-1
1075,-1,-1
1076,278996,13
1077,-1,-1
1078,-1,-1
1079,-1,-1
1080,-1,-1
1081,-1,-1
1082,325603,12
1083,114255,13
1084,-1,-1
1085,-1,-1
1086,-1,-1
1087,-1,-1
1088,-1,-1
1089,-1,-1
1090,-1,-1
1091,-1,-1
1092,3198,14
1093,21558,12
1094,-1,-1
1095,-1,-1
1096,269209,12
1097,347929,13
1098,-1,-1
1099,-1,-1
1100,346332,14
1101,85672,10
1102,365462,12
1103,265829,12
1104,-1,-1
1105,155528,12
1106,-1,-1
1107,248651,10
1108,142825,12
1109,-1,-1
1110,-1,-1
1111,-1,-1
1112,-1,-1
1113,-1,-1
1114,263410,13
1115,-1,-1
1116,-1,-1
1117,-1,-1
1118,-1,-1
1119,-1,-1
1120,-1,-1
1121,-1,-1
1122,-1,-1
1123,-1,-1
1124,-1,-1
1125,301316,12
1126,-1,-1
1127,-1,-1
1128,-1,-1
1129,-1,-1
1130,357047,12
1131,-1,-1
1132,-1,-1
1133,-1,-1
1134,-1,-1
1135,-1,-1
1136,-1,-1
1137,-1,-1
1138,-1,-1
1139,202162,13
1140,-1,-1
1141,-1,-1
1142,-1,-1
1143,140255,13
1144,256675,11
1145,-1,-1
1146,-1,-1
1147,-1,-1
1148,311597,14
1149,253921,12
1150,-1,-1
1151,-1,-1
1152,-1,-1
1153,-1,-1
1154,182061,10
1155,-1,-1
1156,314347,12
1157,-1,-1
1158,63912,12
1159,-1,-1
1160,315055,10
1161,-1,-1
1162,11708,9
1163,-1,-1
1164,-1,-1
1165,-1,-1
1166,-1,-1
1167,-1,-1
1168,262867,12
1169,-1,-1
1170,147413,9
1171,60065,11
1172,-1,-1
1173,373746,13
1174,295372,12
1175,-1,-1
1176,-1,-1
1177,221658,11
1178,-1,-1
1179,-1,-1
1180,300691,9
1181,-1,-1
1182,-1,-1
1183,-1,-1
1184,21282,10
1185,-1,-1
1186,-1,-1
1187,-1,-1
1188,237718,12
1189,-1,-1
1190,176461,15
1191,64768,10
1192,-1,-1
1193,-1,-1
1194,-1,-1
1195,-1,-1
1196,112903,11
1197,231030,13
1198,338833,15
1199,-1,-1
1200,-1,-1
1201,167554,14
1202,26604,13
1203,43525,6
1204,-1,-1
1205,-1,-1
1206,168607,12
1207,-1,-1
1208,206568,13
1209,-1,-1
1210,26244,11
1211,348705,13
1212,-1,-1
1213,-1,-1
1214,328093,12
1215,323776,11
1216,-1,-1
1217,-1,-1
1218,-1,-1
1219,-1,-1
1220,-1,-1
1221,-1,-1
1222,268131,13
1223,-1,-1
1224,-1,-1
1225,162960,12
1226,-1,-1
1227,-1,-1
1228,132504,11
1229,303621,9
1230,-1,-1
1231,-1,-1
1232,-1,-1
1233,-1,-1
1234,-1,-1
1235,111014,11
1236,-1,-1
1237,-1,-1
1238,-1,-1
1239,180903,10
1240,-1,-1
1241,-1,-1
1242,68359,13
1243,47938,12
1244,-1,-1
1245,-1,-1
1246,62067,14
1247,93502,10
1248,222588,8
1249,-1,-1
1250,-1,-1
1251,139048,13
1252,-1,-1
1253,284764,12
1254,352839,11
1255,-1,-1
1256,318926,12
1257,56866,12
1258,-1,-1
1259,16653,13
1260,-1,-1
1261,-1,-1
1262,-1,-1
1263,-1,-1
1264,-1,-1
1265,-1,-1
1266,290109,15
1267,-1,-1
1268,-1,-1
1269,-1,-1
1270,-1,-1
1271,139630,12
1272,-1,-1
1273,-1,-1
1274,-1,-1
1275,352723,11
1276,-1,-1
1277,-1,-1
1278,-1,-1
1279,373926,16
1280,292526,12
1281,-1,-1
1282,83421,12
1283,-1,-1
1284,-1,-1
1285,61400,13
1286,-1,-1
1287,-1,-1
1288,-1,-1
1289,-1,-1
1290,316893,12
1291,-1,-1
1292,263403,11
1293,335867,8
1294,301190,13
1295,-1,-1
1296,-1,-1
1297,-1,-1
1298,-1,-1
1299,-1,-1
1300,-1,-1
1301,-1,-1
1302,-1,-1
1303,-1,-1
1304,11488,12
1305,369959,11
1306,-1,-1
1307,226037,11
1308,-1,-1
1309,-1,-1
1310,-1,-1
1311,-1,-1
1312,-1,-1
1313,312427,11
1314,-1,-1
1315,-1,-1
1316,-1,-1
1317,180594,13
1318,-1,-1
1319,-1,-1
1320,102581,12
1321,-1,-1
1322,-1,-1
1323,320440,14
1324,41641,10
1325,-1,-1
1326,-1,-1
1327,-1,-1
1328,-1,-1
1329,-1,-1
1330,58667,10
1331,-1,-1
1332,-1,-1
1333,-1,-1
1334,-1,-1
1335,234954,13
1336,116637,10
1337,48512,11
1338,203569,13
1339,-1,-1
1340,-1,-1
1341,-1,-1
1342,-1,-1
1343,-1,-1
1344,-1,-1
1345,143313,14
1346,16702,10
1347,235168,12
1348,305724,11
1349,18340,11
1350,-1,-1
1351,-1,-1
1352,250893,14
1353,368632,10
1354,287737,13
1355,-1,-1
1356,112216,13
1357,-1,-1
1358,-1,-1
1359,238563,11
1360,365771,11
1361,-1,-1
1362,-1,-1
1363,-1,-1
1364,-1,-1
1365,276382,13
1366,-1,-1
1367,-1,-1
1368,-1,-1
1369,345110,12
1370,337293,11
1371,257475,12
1372,89488,11
1373,-1,-1
1374,-1,-1
1375,-1,-1
1376,116147,12
1377,-1,-1
1378,-1,-1
1379,-1,-1
1380,-1,-1
1381,-1,-1
1382,-1,-1
1383,-1,-1
1384,-1,-1
1385,-1,-1
1386,-1,-1
1387,-1,-1
1388,-1,-1
1389,25203,13
1390,-1,-1
1391,-1,-1
1392,-1,-1
1393,-1,-1
1394,-1,-1
1395,23174,11
1396,-1,-1
1397,-1,-1
1398,33369,10
1399,-1,-1
1400,247811,13
1401,244237,11
1402,-1,-1
1403,180259,11
1404,23189,13
1405,-1,-1
1406,-1,-1
1407,294297,10
1408,-1,-1
1409,-1,-1
1410,-1,-1
1411,-1,-1
1412,-1,-1
1413,-1,-1
1414,161358,11
1415,-1,-1
1416,-1,-1
1417,39658,13
1418,-1,-1
