Vertice,Pai,Nivel
1006,223001,10330
1007,-1,-1
1008,-1,-1
1009,-1,-1
1010,284125,39806
1011,-1,-1
1012,-1,-1
1013,-1,-1
1014,-1,-1
1015,-1,-1
1016,-1,-1
1017,172374,14794
1018,-1,-1
1019,-1,-1
1020,357658,39997
1021,-1,-1
1022,-1,-1
1023,-1,-1
1024,-1,-1
1025,321225,29791
1026,173136,32319
1027,-1,-1
1028,-1,-1
1029,-1,-1
1030,-1,-1
1031,-1,-1
1032,-1,-1
1033,271910,24626
1034,-1,-1
1035,-1,-1
1036,-1,-1
1037,-1,-1
1038,53089,2976
1039,-1,-1
1040,222986,2276
1041,90019,10449
1042,221935,3844
1043,212511,3008
1044,-1,-1
1045,-1,-1
1046,-1,-1
1047,-1,-1
1048,-1,-1
1049,145011,37946
1050,-1,-1
1051,20206,21763
1052,-1,-1
1053,-1,-1
1054,25196,40714
1055,-1,-1
1056,38128,40521
1057,-1,-1
1058,-1,-1
1059,-1,-1
1060,199408,34857
1061,240399,15495
1062,302571,1660
1063,-1,-1
1064,-1,-1
1065,305322,5933
1066,302165,6879
1067,-1,-1
1068,-1,-1
1069,62327,10679
1070,374260,30386
1071,-1,-1
1072,-1,-1
1073,-1,-1
1074,-1,-1
1075,-1,-1
1076,278996,40724
1077,-1,-1
1078,-1,-1
1079,-1,-1
1080,-1,-1
1081,-1,-1
1082,67001,40715
1083,114255,9755
1084,-1,-1
1085,-1,-1
1086,-1,-1
1087,-1,-1
1088,-1,-1
1089,-1,-1
1090,-1,-1
1091,-1,-1
1092,3198,3912
1093,75103,7950
1094,-1,-1
1095,-1,-1
1096,269209,39317
1097,347929,1200
1098,-1,-1
1099,-1,-1
1100,346332,32239
1101,145413,21278
1102,365462,15923
1103,265829,29939
1104,-1,-1
1105,138145,40611
1106,-1,-1
1107,248651,21544
1108,83206,28171
1109,-1,-1
1110,-1,-1
1111,-1,-1
1112,-1,-1
1113,-1,-1
1114,302114,29648
1115,-1,-1
1116,-1,-1
1117,-1,-1
1118,-1,-1
1119,-1,-1
1120,-1,-1
1121,-1,-1
1122,-1,-1
1123,-1,-1
1124,-1,-1
1125,301316,34776
1126,-1,-1
1127,-1,-1
1128,-1,-1
1129,-1,-1
1130,357047,35897
1131,-1,-1
1132,-1,-1
1133,-1,-1
1134,-1,-1
1135,-1,-1
1136,-1,-1
1137,-1,-1
1138,-1,-1
1139,328160,32337
1140,-1,-1
1141,-1,-1
1142,-1,-1
1143,351584,39690
1144,358638,27814
1145,-1,-1
1146,-1,-1
1147,-1,-1
1148,315530,4477
1149,118102,35540
1150,-1,-1
1151,-1,-1
1152,-1,-1
1153,-1,-1
1154,144166,9564
1155,-1,-1
1156,268632,33616
1157,-1,-1
1158,348074,38931
1159,-1,-1
1160,13583,12904
1161,-1,-1
1162,347269,5772
1163,-1,-1
1164,-1,-1
1165,-1,-1
1166,-1,-1
1167,-1,-1
1168,121282,13291
1169,-1,-1
1170,180323,20462
1171,131555,12666
1172,-1,-1
1173,247617,35443
1174,295372,16643
1175,-1,-1
1176,-1,-1
1177,45878,17424
1178,-1,-1
1179,-1,-1
1180,107700,38880
1181,-1,-1
1182,-1,-1
1183,-1,-1
1184,311956,40454
1185,-1,-1
1186,-1,-1
1187,-1,-1
1188,237718,11015
1189,-1,-1
1190,344423,38762
1191,64768,36931
1192,-1,-1
1193,-1,-1
1194,-1,-1
1195,-1,-1
1196,112903,10352
1197,294122,4073
1198,338833,38214
1199,-1,-1
1200,-1,-1
1201,17083,31270
1202,26604,312
1203,94098,8870
1204,-1,-1
1205,-1,-1
1206,16338,28165
1207,-1,-1
1208,154870,9521
1209,-1,-1
1210,275627,2052
1211,348705,23732
1212,-1,-1
1213,-1,-1
1214,148052,16870
1215,323776,32198
1216,-1,-1
1217,-1,-1
1218,-1,-1
1219,-1,-1
1220,-1,-1
1221,-1,-1
1222,35184,37638
1223,-1,-1
1224,-1,-1
1225,162960,32938
1226,-1,-1
1227,-1,-1
1228,132504,25996
1229,27293,40487
1230,-1,-1
1231,-1,-1
1232,-1,-1
1233,-1,-1
1234,-1,-1
1235,72654,40092
1236,-1,-1
1237,-1,-1
1238,-1,-1
1239,372134,2839
1240,-1,-1
1241,-1,-1
1242,295581,27141
1243,225790,37003
1244,-1,-1
1245,-1,-1
1246,62067,38905
1247,93502,36504
1248,78722,36954
1249,-1,-1
1250,-1,-1
1251,139048,40610
1252,-1,-1
1253,284764,40282
1254,28268,395
1255,-1,-1
1256,273950,32688
1257,239022,40679
1258,-1,-1
1259,16653,27423
1260,-1,-1
1261,-1,-1
1262,-1,-1
1263,-1,-1
1264,-1,-1
1265,-1,-1
1266,290109,34353
1267,-1,-1
1268,-1,-1
1269,-1,-1
1270,-1,-1
1271,215661,28041
1272,-1,-1
1273,-1,-1
1274,-1,-1
1275,100310,8327
1276,-1,-1
1277,-1,-1
1278,-1,-1
1279,373926,30350
1280,94437,10275
1281,-1,-1
1282,83421,29099
1283,-1,-1
1284,-1,-1
1285,61400,39124
1286,-1,-1
1287,-1,-1
1288,-1,-1
1289,-1,-1
1290,148129,36063
1291,-1,-1
1292,360269,35336
1293,327135,6942
1294,301190,40504
1295,-1,-1
1296,-1,-1
1297,-1,-1
1298,-1,-1
1299,-1,-1
1300,-1,-1
1301,-1,-1
1302,-1,-1
1303,-1,-1
1304,11488,6552
1305,234536,6391
1306,-1,-1
1307,211516,39661
1308,-1,-1
1309,-1,-1
1310,-1,-1
1311,-1,-1
1312,-1,-1
1313,178911,36951
1314,-1,-1
1315,-1,-1
1316,-1,-1
1317,16662,13414
1318,-1,-1
1319,-1,-1
1320,102581,15228
1321,-1,-1
1322,-1,-1
1323,320440,39354
1324,41641,40251
1325,-1,-1
1326,-1,-1
1327,-1,-1
1328,-1,-1
1329,-1,-1
1330,58667,20151
1331,-1,-1
1332,-1,-1
1333,-1,-1
1334,-1,-1
